03-18 17:37:59 - INFO - models loaded
03-19 09:09:56 - INFO - prediction of 2022-12-21 done, outcomes saved
03-19 09:12:03 - INFO - prediction of 2022-12-22 done, outcomes saved
03-19 09:14:09 - INFO - prediction of 2022-12-23 done, outcomes saved
03-19 09:16:16 - INFO - prediction of 2022-12-24 done, outcomes saved
03-19 09:18:23 - INFO - prediction of 2022-12-25 done, outcomes saved
03-19 09:20:30 - INFO - prediction of 2022-12-26 done, outcomes saved
03-19 09:22:37 - INFO - prediction of 2022-12-27 done, outcomes saved
03-19 09:24:51 - INFO - prediction of 2022-12-28 done, outcomes saved
03-19 09:27:06 - INFO - prediction of 2022-12-29 done, outcomes saved
03-19 09:29:17 - INFO - prediction of 2022-12-30 done, outcomes saved
03-19 09:31:30 - INFO - prediction of 2022-12-31 done, outcomes saved
03-19 09:31:30 - INFO - prediction all done, making dataset
03-19 09:31:30 - INFO - lead: 0
03-19 09:31:33 - INFO - <xarray.Dataset> Size: 4GB
Dimensions:  (time: 8760, lat: 61, lon: 61, input_channel: 34)
Coordinates:
  * time     (time) datetime64[ns] 70kB 2022-01-01 ... 2022-12-31T23:00:00
  * lat      (lat) float64 488B 25.0 24.75 24.5 24.25 ... 10.75 10.5 10.25 10.0
  * lon      (lon) float64 488B 110.0 110.2 110.5 110.8 ... 124.5 124.8 125.0
Dimensions without coordinates: input_channel
Data variables:
    input    (time, input_channel, lat, lon) float32 4GB 0.5812 0.9552 ... 1.805
03-19 09:31:35 - INFO - lead: 1
03-19 09:31:43 - INFO - <xarray.Dataset> Size: 9GB
Dimensions:  (time: 8760, lat: 61, lon: 61, input_channel: 34)
Coordinates:
  * time     (time) datetime64[ns] 70kB 2022-01-01 ... 2022-12-31T23:00:00
  * lat      (lat) float64 488B 25.0 24.75 24.5 24.25 ... 10.75 10.5 10.25 10.0
  * lon      (lon) float64 488B 110.0 110.2 110.5 110.8 ... 124.5 124.8 125.0
Dimensions without coordinates: input_channel
Data variables:
    input    (time, input_channel, lat, lon) float64 9GB nan nan ... 1.528 1.576
03-19 09:31:47 - INFO - lead: 2
03-19 09:31:54 - INFO - <xarray.Dataset> Size: 9GB
Dimensions:  (time: 8760, lat: 61, lon: 61, input_channel: 34)
Coordinates:
